DATE,T2M,TMIN,TMAX,TDEW,RH2M,RAIN,WIND,SRAD,Evapotranspiration
1981-01-01,26.1,21.4,31.3,20.1,71.2,0.1,2.1,,3.1997
1981-01-02,26.3,22.2,31.4,20.3,71.3,0.1,1.9,,2.6746
1981-01-03,26.4,22.0,31.3,20.8,72.9,0.1,1.5,,2.8986
1981-01-04,26.1,21.8,31.4,20.5,73.1,2.7,1.7,,2.8196
1981-01-05,25.6,21.2,31.1,19.4,71.8,2.4,1.4,,2.8684
1981-01-06,25.5,20.8,31.6,18.6,69.2,4.2,1.6,,3.1368
1981-01-07,26.3,22.8,31.7,20.4,72.2,0.0,1.4,,2.5196
1981-01-08,25.7,22.3,30.9,19.9,72.9,0.0,2.3,,2.5273
1981-01-09,24.6,20.9,29.3,17.8,67.7,0.0,1.7,,2.3482
1981-01-10,24.8,21.0,29.6,18.0,67.0,0.1,1.6,,2.4475
1981-01-11,25.2,22.5,29.8,19.0,70.1,0.0,1.4,,2.5954
1981-01-12,25.2,22.3,29.9,18.9,69.9,0.0,1.3,,2.7151
1981-01-13,25.5,20.5,31.2,18.9,69.2,0.0,1.8,,3.2308
1981-01-14,25.7,20.6,31.6,18.1,65.9,0.1,1.7,,3.001
1981-01-15,26.1,20.8,31.5,19.6,69.5,2.8,1.3,,3.2033
1981-01-16,26.6,22.1,32.2,20.8,72.9,3.1,1.9,,3.2269
1981-01-17,26.9,22.9,32.3,20.4,70.1,0.0,1.8,,3.383
1981-01-18,26.3,21.9,31.8,19.8,69.8,0.0,1.8,,2.6624
1981-01-19,26.4,22.7,31.1,20.2,70.2,0.0,1.3,,2.83
1981-01-20,26.8,22.5,32.0,19.5,66.6,0.0,1.4,,2.3985
1981-01-21,26.6,21.6,32.4,19.7,68.8,0.0,1.7,,3.1164
1981-01-22,26.6,22.2,32.2,18.6,64.6,0.0,1.8,,3.0184
1981-01-23,26.2,21.4,32.2,18.7,66.6,0.0,1.5,,2.7554
1981-01-24,26.2,21.8,31.9,19.8,71.1,0.1,1.6,,2.1707
1981-01-25,26.8,22.7,32.7,20.3,70.7,0.0,1.6,,2.329
1981-01-26,26.9,22.9,32.3,20.3,70.0,0.9,1.5,,2.5807
1981-01-27,26.8,21.7,33.3,17.6,61.0,0.1,1.9,,3.4599
1981-01-28,26.1,20.0,33.2,15.7,57.5,0.0,2.9,,3.8699
