DATE,T2M,TMIN,TMAX,TDEW,RH2M,RAIN,WIND,SRAD,TMEAN,ET0_PM
01-01-1981,26.1,21.4,31.3,20.1,71.2,0.1,2.1,17.829181135323548,26.35,6.583253182316733
02-01-1981,26.3,22.2,31.4,20.3,71.3,0.1,1.9,18.71795009575821,26.799999999999997,6.827785293505639
03-01-1981,26.4,22.0,31.3,20.8,72.9,0.1,1.5,18.33734128432982,26.65,6.440431946826522
04-01-1981,26.1,21.8,31.4,20.5,73.1,2.7,1.7,18.77751589478216,26.6,6.736497072521053
05-01-1981,25.6,21.2,31.1,19.4,71.8,2.4,1.4,19.308446626605697,26.15,6.77984927229293
06-01-1981,25.5,20.8,31.6,18.6,69.2,4.2,1.6,19.581830815108976,26.200000000000003,7.0077375607997565
07-01-1981,26.3,22.8,31.7,20.4,72.2,0.0,1.4,20.77877540641529,27.25,7.376755653078052
08-01-1981,25.7,22.3,30.9,19.9,72.9,0.0,2.3,19.73093824134852,26.6,7.474478303137752
09-01-1981,24.6,20.9,29.3,17.8,67.7,0.0,1.7,17.420286930183355,25.1,6.187723119175325
10-01-1981,24.8,21.0,29.6,18.0,67.0,0.1,1.6,17.380137096630957,25.3,6.112258067507226
11-01-1981,25.2,22.5,29.8,19.0,70.1,0.0,1.4,19.27326513581379,26.15,6.7654952240498325
12-01-1981,25.2,22.3,29.9,18.9,69.9,0.0,1.3,19.320486973542618,26.1,6.726636679187332
13-01-1981,25.5,20.5,31.2,18.9,69.2,0.0,1.8,18.389929524589018,25.85,6.639153444459622
14-01-1981,25.7,20.6,31.6,18.1,65.9,0.1,1.7,18.750861601805244,26.1,6.727275064128314
15-01-1981,26.1,20.8,31.5,19.6,69.5,2.8,1.3,17.574831101310433,26.15,6.014282491641191
16-01-1981,26.6,22.1,32.2,20.8,72.9,3.1,1.9,19.316910469182222,27.150000000000002,7.070873324499809
17-01-1981,26.9,22.9,32.3,20.4,70.1,0.0,1.8,19.97442260799023,27.599999999999998,7.279516280347439
18-01-1981,26.3,21.9,31.8,19.8,69.8,0.0,1.8,19.256679937355923,26.85,6.989287255361676
19-01-1981,26.4,22.7,31.1,20.2,70.2,0.0,1.3,18.731245584929756,26.9,6.484205791182183
20-01-1981,26.8,22.5,32.0,19.5,66.6,0.0,1.4,18.99784629864853,27.25,6.6501365771092145
21-01-1981,26.6,21.6,32.4,19.7,68.8,0.0,1.7,19.354144532947483,27.0,6.970443169442573
22-01-1981,26.6,22.2,32.2,18.6,64.6,0.0,1.8,19.40150678577221,27.200000000000003,7.047156993778272
23-01-1981,26.2,21.4,32.2,18.7,66.6,0.0,1.5,19.900438200857995,26.8,7.077739039452396
24-01-1981,26.2,21.8,31.9,19.8,71.1,0.1,1.6,20.134368790181835,26.85,7.231152991656819
25-01-1981,26.8,22.7,32.7,20.3,70.7,0.0,1.6,21.220355626528335,27.700000000000003,7.671607177432671
26-01-1981,26.9,22.9,32.3,20.3,70.0,0.9,1.5,20.14580454316153,27.599999999999998,7.175528133849424
27-01-1981,26.8,21.7,33.3,17.6,61.0,0.1,1.9,20.394004050262463,27.5,7.509042704087783
28-01-1981,26.1,20.0,33.2,15.7,57.5,0.0,2.9,19.35803606066632,26.6,7.671319126637037
29-01-1981,26.2,20.2,33.1,17.0,60.7,0.0,2.4,19.276014015270437,26.65,7.346800442742269
30-01-1981,26.4,19.8,33.4,15.8,56.4,0.0,1.8,19.189893880868976,26.6,6.962911443047412
31-01-1981,26.7,20.1,34.4,15.6,55.6,0.0,1.5,21.30422680320329,27.25,7.649178057771887
01-02-1981,27.1,21.9,33.9,18.2,63.2,0.0,1.4,21.86521324021434,27.9,7.818267061827988
02-02-1981,27.7,23.3,34.0,19.8,66.2,0.0,1.4,22.13675114044911,28.65,7.927038662220192
03-02-1981,27.6,23.5,33.7,18.0,60.7,0.0,1.1,22.218277102102572,28.6,7.787099988692331
04-02-1981,27.2,21.8,34.0,15.5,53.6,0.0,1.4,21.298255489176103,27.9,7.586948299404387
05-02-1981,26.8,19.8,34.0,15.4,53.8,0.0,1.9,19.121405299452785,26.9,6.992026766644892
06-02-1981,28.0,21.8,35.1,18.2,58.2,1.3,1.5,20.44553312925701,28.450000000000003,7.295365494842681
07-02-1981,28.5,22.9,35.5,19.6,62.0,0.1,1.8,21.605081971164307,29.2,7.93930063152822
08-02-1981,28.8,23.9,35.4,19.2,59.9,0.1,1.7,21.95815837697921,29.65,8.024234522317677
09-02-1981,28.4,23.9,34.7,19.2,62.1,0.0,1.3,22.354215318949276,29.3,7.956380399254691
10-02-1981,28.2,23.8,34.5,20.3,65.4,0.0,1.7,21.845340078781962,29.15,7.979824424822172
11-02-1981,28.9,24.4,35.6,20.3,64.0,0.0,1.2,23.508882445868355,30.0,8.368241859696466
12-02-1981,28.3,24.0,34.4,20.4,65.7,0.7,1.7,21.619976898470345,29.2,7.887714029241684
13-02-1981,27.7,24.2,33.2,21.1,69.6,0.9,1.8,21.041961593419085,28.700000000000003,7.711267681788834
14-02-1981,28.1,24.2,34.3,20.8,67.4,0.0,1.8,22.26239719002096,29.25,8.207313537399518
15-02-1981,29.0,24.4,35.8,19.9,61.8,0.2,1.7,23.003137129437338,30.099999999999998,8.449132631093507
16-02-1981,29.0,23.8,36.1,17.0,54.9,0.6,1.5,23.68003514321565,29.950000000000003,8.610748994315793
17-02-1981,28.3,23.0,35.5,15.4,52.6,0.5,1.2,23.8585520902629,29.25,8.512619575407907
18-02-1981,27.6,21.2,35.4,13.9,50.4,0.2,1.9,22.94569801001371,28.299999999999997,8.547208359277096
